Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
IRET,Investors Real Estate Trust,5.87,$707.84M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/iret
IRET^C,Investors Real Estate Trust,25.38,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/iret^c
ITIC,Investors Title Company,186.67,$352.29M,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/itic
NVTA,Invitae Corporation,8.31,$416.13M,2015,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/nvta
INVH,Invitation Homes Inc.,22.84,$7.11B,2017,Finance,Real Estate,http://www.nasdaq.com/symbol/invh
NVIV,InVivo Therapeutics Holdings Corp.,1.3499,$46.22M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/nviv
IVTY,"Invuity, Inc.",8.9,$151.75M,2015,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/ivty
IO,Ion Geophysical Corporation,13.8,$163.99M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/io
IONS,"Ionis Pharmaceuticals, Inc.",54.16,$6.74B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ions
IOVA,"Iovance Biotherapeutics, Inc.",7.85,$561.53M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/iova
IPAS,iPass Inc.,0.546,$36.41M,2003,Technology,EDP Services,http://www.nasdaq.com/symbol/ipas
DTYS,iPath US Treasury 10-year Bear ETN,17.07,$49.03M,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/dtys
DTUS,iPath US Treasury 2-year Bear ETN,33.0287,$8.54M,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/dtus
DTUL,iPath US Treasury 2-year Bull ETN,64.71,$4.48M,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/dtul
DFVS,iPath US Treasury 5-year Bear ETN,28.292,$1.08M,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/dfvs
DFVL,iPath US Treasury 5-year Bull ETN,66.475,$4.83M,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/dfvl
FLAT,iPath US Treasury Flattener ETN,61.28,$3.44M,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/flat
DLBS,iPath US Treasury Long Bond Bear ETN,16.445,$16.59M,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/dlbs
STPP,iPath US Treasury Steepener ETN,31.92,$4.43M,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/stpp
IPGP,IPG Photonics Corporation,213.86,$11.46B,2006,Technology,Semiconductors,http://www.nasdaq.com/symbol/ipgp
CSML,IQ Chaikin U.S. Small Cap ETF,27.36,$268.13M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/csml
IRMD,iRadimed Corporation,13.6,$143.92M,2014,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/irmd
IRTC,"iRhythm Technologies, Inc.",53.84,$1.22B,2016,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/irtc
IRIX,IRIDEX Corporation,8.74,$101.1M,1996,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/irix
IRDM,Iridium Communications Inc,10.425,$1.02B,n/a,Consumer Durables,Telecommunications Equipment,http://www.nasdaq.com/symbol/irdm
IRDMB,Iridium Communications Inc,355.05,$177.53M,n/a,Consumer Durables,Telecommunications Equipment,http://www.nasdaq.com/symbol/irdmb
IRBT,iRobot Corporation,67.4,$1.87B,2005,Consumer Durables,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/irbt
IRM,Iron Mountain Incorporated,40.12,$10.71B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/irm
IRWD,"Ironwood Pharmaceuticals, Inc.",15.87,$2.37B,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/irwd
IRS,IRSA Inversiones Y Representaciones S.A.,30,$1.74B,n/a,Consumer Services,Homebuilding,http://www.nasdaq.com/symbol/irs
IRCP,IRSA Propiedades Comerciales S.A.,56,$1.76B,n/a,Consumer Services,Building operators,http://www.nasdaq.com/symbol/ircp
PMPT,iSectors Post-MPT Growth ETF,27.23,$13.62M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pmpt
SLQD,iShares 0-5 Year Investment Grade Corporate Bond ETF,50.455,$610.51M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/slqd
CSJ,iShares 1-3 Year Credit Bond ETF,105.04,$11.97B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/csj
ISHG,iShares 1-3 Year International Treasury Bond ETF,82.282,$78.17M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ishg
SHY,iShares 1-3 Year Treasury Bond ETF,84.2,$11.37B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/shy
TLT,iShares 20+ Year Treasury Bond ETF,125.65,$7.99B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/tlt
IEI,iShares 3-7 Year Treasury Bond ETF,123.11,$7.41B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/iei
IEF,iShares 7-10 Year Treasury Bond ETF,106.37,$7.5B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ief
AIA,iShares Asia 50 ETF,65.4,$529.74M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aia
COMT,iShares Commodities Select Strategy ETF,36.33,$261.58M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/comt
ISTB,iShares Core 1-5 Year USD Bond ETF,50.08,$1.16B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/istb
IXUS,iShares Core MSCI Total International Stock ETF,62.36,$7.86B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ixus
IUSG,iShares Core S&P U.S. Growth ETF,52.46,$2.92B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/iusg
IUSV,iShares Core S&P U.S. Value ETF,53.1,$2.71B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/iusv
IUSB,iShares Core Total USD Bond Market ETF,51.01,$1.84B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/iusb
HEWG,iShares Currency Hedged MSCI Germany ETF,29.91,$708.87M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/hewg
SUSB,iShares ESG 1-5 Year USD Corporate Bond ETF,25.085,$10.03M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/susb
SUSC,iShares ESG USD Corporate Bond ETF,25.43,$10.17M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/susc
XT,iShares Exponential Technologies ETF,35.02,$1.5B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/xt
FALN,iShares Fallen Angels USD Bond ETF,27.77,$15.27M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/faln
IFEU,iShares FTSE EPRA/NAREIT Europe Index Fund,38.6404,$38.64M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ifeu
IFGL,iShares FTSE EPRA/NAREIT Global Real Estate ex-U.S. Index Fund,29.42,$603.11M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ifgl
IGF,iShares Global Infrastructure ETF,45.53,$1.77B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/igf
GNMA,iShares GNMA Bond ETF,49.69,$126.71M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gnma
HYXE,iShares iBoxx $ High Yield ex Oil & Gas Corporate Bond ETF,51.65,$10.33M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/hyxe
CIU,iShares Intermediate Credit Bond ETF,109.8,$7.68B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ciu
IGOV,iShares International Treasury Bond ETF,48.68,$810.52M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/igov
EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF,115.42,$11.91B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/emb
MBB,iShares MBS ETF,106.86,$11.67B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mbb
JKI,iShares Morningstar Mid-Cap ETF,152.299,$403.59M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jki
ACWX,iShares MSCI ACWI ex US Index Fund,49.43,$2.98B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acwx
ACWI,iShares MSCI ACWI Index Fund,70.59,$7.99B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acwi
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,75.91,$4.52B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aaxj
EWZS,iShares MSCI Brazil Small-Cap ETF,15.65,$77.47M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ewzs
MCHI,iShares MSCI China ETF,65.83,$2.66B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mchi
ESGD,iShares MSCI EAFE ESG Optimized ETF,67.54,$128.33M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/esgd
SCZ,iShares MSCI EAFE Small-Cap ETF,63.17,$9.94B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/scz
ESGE,iShares MSCI EM ESG Optimized ETF,71.56,$110.92M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/esge
EEMA,iShares MSCI Emerging Markets Asia Index Fund,73.6,$570.4M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/eema
EMXC,iShares MSCI Emerging Markets ex China ETF,52.56,$10.51M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/emxc
EUFN,iShares MSCI Europe Financials Sector Index Fund,22.93,$1.99B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/eufn
IEUS,iShares MSCI Europe Small-Cap ETF,56.57,$181.02M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ieus
RING,iShares MSCI Global Gold Miners ETF,17.86,$339.34M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ring
MPCT,iShares MSCI Global Impact ETF,58.3,$26.24M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mpct
ENZL,iShares MSCI New Zealand Capped ETF,45.6,$164.16M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/enzl
QAT,iShares MSCI Qatar Capped ETF,15.02,$54.82M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/qat
TUR,iShares MSCI Turkey ETF,41.19,$385.13M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/tur
UAE,iShares MSCI UAE Capped ETF,17.755,$44.39M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/uae
ESGU,iShares MSCI USA ESG Optimized ETF,56.74,$14.19M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/esgu
IBB,iShares Nasdaq Biotechnology Index Fund,316.88,$9.62B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ibb
SOXX,iShares PHLX SOX Semiconductor Sector Index Fund,175.98,$1.38B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/soxx
AMCA,iShares Russell 1000 Pure U.S. Revenue ETF,25.68,$2.57M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amca
EMIF,iShares S&P Emerging Markets Infrastructure Index Fund,33.53,$46.94M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/emif
ICLN,iShares S&P Global Clean Energy Index Fund,9.2524,$123.06M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/icln
WOOD,iShares S&P Global Timber & Forestry Index Fund,70.42,$354.92M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/wood
INDY,iShares S&P India Nifty 50 Index Fund,36.54,$1.19B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/indy
IJT,iShares S&P Small-Cap 600 Growth ETF,164.12,$4.76B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ijt
DVY,iShares Select Dividend ETF,94.78,$17.11B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dvy
SHV,iShares Short Treasury Bond ETF,110.28,$6.55B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/shv
CRED,iShares U.S. Credit Bond ETF,111.95,$1.43B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cred
PFF,iShares U.S. Preferred Stock ETF,38.29,$18.07B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pff
ISR,"IsoRay, Inc.",0.4172,$22.95M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/isr
ICL,Israel Chemicals Shs,4.2,$5.36B,2014,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/icl
ISRL,"Isramco, Inc.",113.6,$308.73M,1983,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/isrl
ISDR,Issuer Direct Corporation,16.8,$49.63M,n/a,Miscellaneous,Publishing,http://www.nasdaq.com/symbol/isdr
STAR          ,iStar Financial Inc.,11.2,$808.53M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/star
STAR^D,iStar Financial Inc.,25.6032,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/star^d
STAR^G,iStar Financial Inc.,25.49,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/star^g
STAR^I,iStar Financial Inc.,25.4558,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/star^i
ITCB,Ita? CorpBanca,13.66,$4.67B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/itcb
ITUB,Itau Unibanco Banco Holding SA,12.65,$82.18B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/itub
ITI,"Iteris, Inc.",6.76,$220.15M,n/a,Consumer Durables,Telecommunications Equipment,http://www.nasdaq.com/symbol/iti
ITRI,"Itron, Inc.",69.375,$2.68B,1993,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/itri
ITT,ITT Inc.,51.32,$4.52B,2011,Capital Goods,Fluid Controls,http://www.nasdaq.com/symbol/itt
ITRN,Ituran Location and Control Ltd.,35.25,$827.51M,2005,Consumer Non-Durables,Electronic Components,http://www.nasdaq.com/symbol/itrn
ITUS,ITUS Corporation,2.39,$36.62M,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/itus
IVH,Ivy High Income Opportunities Fund,15.51,$256.96M,2013,n/a,n/a,http://www.nasdaq.com/symbol/ivh
IVENC,Ivy NextShares,99.99,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ivenc
IVFGC,Ivy NextShares,99.99,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ivfgc
IVFVC,Ivy NextShares,99.99,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ivfvc
IXYS,IXYS Corporation,23.25,$758.19M,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/ixys
IZEA,IZEA Inc.,3.29,$18.77M,n/a,Consumer Services,Advertising,http://www.nasdaq.com/symbol/izea
JJSF,J & J Snack Foods Corp.,131.38,$2.46B,1986,Consumer Non-Durables,Specialty Foods,http://www.nasdaq.com/symbol/jjsf
JPM,J P Morgan Chase & Co,101.41,$351.86B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/jpm
JPM.WS,J P Morgan Chase & Co,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jpm.ws
JPM^A,J P Morgan Chase & Co,25.23,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/jpm^a
JPM^B,J P Morgan Chase & Co,26.68,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jpm^b
JPM^D.CL,J P Morgan Chase & Co,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jpm^d.cl
JPM^E,J P Morgan Chase & Co,26.55,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jpm^e
JPM^F,J P Morgan Chase & Co,26.76,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jpm^f
JPM^G,J P Morgan Chase & Co,26.89,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jpm^g
JPM^H,J P Morgan Chase & Co,27.05,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/jpm^h
JAX,"J. Alexander&#39;s Holdings, Inc.",10.35,$152.1M,2015,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/jax
JILL,"J. Jill, Inc.",5.07,$221.8M,2017,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/jill
MAYS,"J. W. Mays, Inc.",39.95,$80.53M,n/a,Consumer Services,Building operators,http://www.nasdaq.com/symbol/mays
JBHT,"J.B. Hunt Transport Services, Inc.",107.2,$11.77B,n/a,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/jbht
JCP,"J.C. Penney Company, Inc. Holding Company",2.37,$736.46M,n/a,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/jcp
SJM,J.M. Smucker Company (The),102.22,$11.61B,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/sjm
JCOM,"j2 Global, Inc.",75.81,$3.66B,1999,Technology,Telecommunications Equipment,http://www.nasdaq.com/symbol/jcom
JASO,"JA Solar Holdings, Co., Ltd.",7.64,$363.44M,2007,Technology,Semiconductors,http://www.nasdaq.com/symbol/jaso
JBL,Jabil Inc.,28.02,$4.95B,1993,Technology,Electrical Products,http://www.nasdaq.com/symbol/jbl
JKHY,"Jack Henry & Associates, Inc.",111.61,$8.62B,1985,Technology,EDP Services,http://www.nasdaq.com/symbol/jkhy
JACK,Jack In The Box Inc.,102.69,$3.02B,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/jack
JXSB,Jacksonville Bancorp Inc.,30.55,$55.38M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/jxsb
JEC,Jacobs Engineering Group Inc.,59.29,$7.13B,n/a,Basic Industries,Military/Government/Technical,http://www.nasdaq.com/symbol/jec
JAG,Jagged Peak Energy Inc.,14.82,$3.16B,2017,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/jag
JAGX,"Jaguar Health, Inc.",0.1781,$15.84M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/jagx
JAKK,"JAKKS Pacific, Inc.",2.7,$72.87M,1996,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/jakk
JMBA,"Jamba, Inc.",8.31,$127.39M,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/jmba
JHX,James Hardie Industries plc.,14.91,$6.57B,n/a,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/jhx
JRVR,"James River Group Holdings, Ltd.",41.19,$1.22B,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/jrvr
JHG,Janus Henderson Group plc,34.8,$6.97B,2017,Finance,Investment Managers,http://www.nasdaq.com/symbol/jhg
SGQI,Janus Henderson SG Global Quality Income ETF,28.279,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sgqi
JSML,Janus Henderson Small Cap Growth Alpha ETF,35.7,$7.21M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jsml
JSMD,Janus Henderson Small/Mid Cap Growth Alpha ETF,36.75,$12.94M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jsmd
JOF,Japan Smaller Capitalization Fund Inc,13.13,$372.02M,1990,n/a,n/a,http://www.nasdaq.com/symbol/jof
JASN,"Jason Industries, Inc.",1.99,$51.67M,2013,Consumer Durables,Miscellaneous manufacturing industries,http://www.nasdaq.com/symbol/jasn
JASNW,"Jason Industries, Inc.",0.0251,n/a,2013,Consumer Durables,Miscellaneous manufacturing industries,http://www.nasdaq.com/symbol/jasnw
JAZZ,Jazz Pharmaceuticals plc,137.78,$8.28B,2007,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/jazz
JBGS,JBG SMITH Properties,31.55,$3.73B,2017,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/jbgs
JD,"JD.com, Inc.",38.43,$54.7B,2014,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/jd
JELD,"JELD-WEN Holding, Inc.",36.05,$3.79B,2017,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/jeld
JSYN,Jensyn Acquistion Corp.,10.32,$53.35M,2016,Finance,Business Services,http://www.nasdaq.com/symbol/jsyn
JSYNR,Jensyn Acquistion Corp.,0.2876,n/a,2016,Finance,Business Services,http://www.nasdaq.com/symbol/jsynr
JSYNU,Jensyn Acquistion Corp.,10.75,n/a,2016,Finance,Business Services,http://www.nasdaq.com/symbol/jsynu
JSYNW,Jensyn Acquistion Corp.,0.2,n/a,2016,Finance,Business Services,http://www.nasdaq.com/symbol/jsynw
JCAP,"Jernigan Capital, Inc.",20.12,$286.48M,2015,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/jcap
JBLU,JetBlue Airways Corporation,19.2,$6.16B,2002,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/jblu
JTPY,JetPay Corporation,2.15,$33.7M,2011,Finance,Business Services,http://www.nasdaq.com/symbol/jtpy
JCTCF,Jewett-Cameron Trading Company,15.25,$34.25M,n/a,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/jctcf
JKS,JinkoSolar Holding Company Limited,26.44,$860.53M,2010,Technology,Semiconductors,http://www.nasdaq.com/symbol/jks
WYIG,JM Global Holding Company,9.98,$55.88M,2015,Finance,Business Services,http://www.nasdaq.com/symbol/wyig
WYIGU,JM Global Holding Company,10.3399,$57.9M,2015,Finance,Business Services,http://www.nasdaq.com/symbol/wyigu
WYIGW,JM Global Holding Company,0.4478,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/wyigw
JMP,JMP Group LLC,5.4,$113.15M,2007,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/jmp
JMPB,JMP Group LLC,25.6287,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/jmpb
JMPC,JMP Group LLC,25.3357,n/a,2014,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/jmpc
JMU,JMU Limited,1.01,$82.8M,2015,Technology,EDP Services,http://www.nasdaq.com/symbol/jmu
JBSS,"John B. Sanfilippo & Son, Inc.",58,$655.25M,1991,Consumer Non-Durables,Specialty Foods,http://www.nasdaq.com/symbol/jbss
JBT,John Bean Technologies Corporation,108.2,$3.42B,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/jbt
BTO,John Hancock Financial Opportunities Fund,37.54,$699.59M,1994,n/a,n/a,http://www.nasdaq.com/symbol/bto
HEQ,John Hancock Hedged Equity & Income Fund,17.48,$213.34M,2011,n/a,n/a,http://www.nasdaq.com/symbol/heq
JHS,John Hancock Income Securities Trust,14.89,$173.42M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jhs
JHI,John Hancock Investors Trust,17.88,$155.68M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jhi
HPF,John Hancock Pfd Income Fund II,21.42,$455.55M,2002,n/a,n/a,http://www.nasdaq.com/symbol/hpf
HPI,John Hancock Preferred Income Fund,21.66,$563.23M,2002,n/a,n/a,http://www.nasdaq.com/symbol/hpi
HPS,John Hancock Preferred Income Fund III,18.26,$576.6M,2003,n/a,n/a,http://www.nasdaq.com/symbol/hps
PDT,John Hancock Premium Dividend Fund,16.93,$817.68M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pdt
HTD,John Hancock Tax Advantaged Dividend Income Fund,25.79,$912.58M,2004,n/a,n/a,http://www.nasdaq.com/symbol/htd
HTY,John Hancock Tax-Advantaged Global Shareholder Yield Fund,8.72,$96.12M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/hty
JW.A,"John Wiley & Sons, Inc.",n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jw.a
JW.B,"John Wiley & Sons, Inc.",n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jw.b
JNJ,Johnson & Johnson,140.08,$375.97B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/jnj
JCI,Johnson Controls International plc,40.68,$37.93B,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/jci
JOUT,Johnson Outdoors Inc.,72.92,$728.92M,n/a,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/jout
JONE,"Jones Energy, Inc.",1.36,$131.2M,2013,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/jone
JLL,Jones Lang LaSalle Incorporated,133.5,$6.05B,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/jll
JNCE,"Jounce Therapeutics, Inc.",15.04,$484.2M,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/jnce
JRJR,"JRjr33, Inc.",0.1846,$7.45M,2014,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/jrjr
JMEI,Jumei International Holding Limited,3.06,$458.1M,2014,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/jmei
JNPR,"Juniper Networks, Inc.",24.55,$9.34B,1999,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/jnpr
JNP,"Juniper Pharmaceuticals, Inc.",4.65,$50.43M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/jnp
JUNO,"Juno Therapeutics, Inc.",58.465,$7.09B,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/juno
JP,Jupai Holdings Limited,22.7,$732.91M,2015,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/jp
JE,"Just Energy Group, Inc.",5.56,$816.5M,n/a,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/je
JE^A,"Just Energy Group, Inc.",25.96,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/je^a
LRN,K12 Inc,16.08,$664.63M,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/lrn
KTWO,"K2M Group Holdings, Inc.",18.93,$819.65M,2014,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/ktwo
KAI,Kadant Inc,106.35,$1.17B,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/kai
KDMN,"Kadmon Holdings, Inc.",3.59,$186.13M,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/kdmn
KALU,Kaiser Aluminum Corporation,97.94,$1.66B,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/kalu
KALA,"Kala Pharmaceuticals, Inc.",16.34,$395.87M,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/kala
KALV,"KalVista Pharmaceuticals, Inc.",13.14,$141.7M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/kalv
KMDA,Kamada Ltd.,4.7,$189.2M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/kmda
KAMN,Kaman Corporation,56.42,$1.57B,n/a,Consumer Durables,Industrial Specialties,http://www.nasdaq.com/symbol/kamn
KNDI,"Kandi Technologies Group, Inc.",6.85,$328.95M,n/a,Capital Goods,Auto Manufacturing,http://www.nasdaq.com/symbol/kndi
KSU,Kansas City Southern,104.86,$10.86B,n/a,Transportation,Railroads,http://www.nasdaq.com/symbol/ksu
KSU^,Kansas City Southern,27.1,n/a,n/a,Transportation,Railroads,http://www.nasdaq.com/symbol/ksu^
KS,KapStone Paper and Packaging Corporation,22.88,$2.22B,n/a,Basic Industries,Paper,http://www.nasdaq.com/symbol/ks
KAR,"KAR Auction Services, Inc",48.51,$6.66B,2009,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/kar
